epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.3502,1.35647,0.67956,1,1.31598,0.000232711,0.000232711,0.000232711
2,63.8738,0.90806,0.67956,1,1.2656,0.000468381,0.000468381,0.000468381
3,87.8307,0.75472,0.72376,1,1.23215,0.000701695,0.000701695,0.000701695
4,111.968,0.74538,0.76243,1,1.22298,0.000703397,0.000703397,0.000703397
5,136.087,0.70821,0.71823,1,1.24405,0.000699863,0.000699863,0.000699863
6,160.11,0.68371,0.75691,1,1.1947,0.000696328,0.000696328,0.000696328
7,184.192,0.57679,0.81215,1,1.15799,0.000692794,0.000692794,0.000692794
8,208.276,0.57469,0.71823,1,1.2295,0.00068926,0.00068926,0.00068926
9,232.366,0.55717,0.76243,1,1.15554,0.000685726,0.000685726,0.000685726
10,256.43,0.54647,0.77348,1,1.18318,0.000682191,0.000682191,0.000682191
11,280.207,0.49817,0.76243,1,1.16921,0.000678657,0.000678657,0.000678657
12,303.491,0.47054,0.75138,1,1.17161,0.000675123,0.000675123,0.000675123
13,326.722,0.42738,0.77348,1,1.14408,0.000671588,0.000671588,0.000671588
14,350.132,0.45392,0.78453,1,1.14787,0.000668054,0.000668054,0.000668054
15,374.15,0.3919,0.82873,1,1.15274,0.00066452,0.00066452,0.00066452
16,398.178,0.39944,0.74586,1,1.18345,0.000660986,0.000660986,0.000660986
17,422.268,0.36831,0.80663,1,1.11917,0.000657451,0.000657451,0.000657451
18,445.511,0.34439,0.8232,1,1.11719,0.000653917,0.000653917,0.000653917
19,469.607,0.33342,0.79006,1,1.13841,0.000650383,0.000650383,0.000650383
20,493.722,0.32652,0.78453,1,1.12441,0.000646848,0.000646848,0.000646848
21,517.744,0.33153,0.8011,1,1.10932,0.000643314,0.000643314,0.000643314
22,541.868,0.31415,0.80663,1,1.11749,0.00063978,0.00063978,0.00063978
23,565.931,0.29335,0.79006,1,1.1422,0.000636245,0.000636245,0.000636245
24,589.993,0.29783,0.78453,1,1.1366,0.000632711,0.000632711,0.000632711
25,614.018,0.32218,0.79558,1,1.13146,0.000629177,0.000629177,0.000629177
26,638.118,0.30666,0.77348,1,1.12969,0.000625642,0.000625642,0.000625642
27,662.126,0.29914,0.79558,1,1.11684,0.000622108,0.000622108,0.000622108
28,686.159,0.26372,0.79558,1,1.11762,0.000618574,0.000618574,0.000618574
29,710.222,0.23683,0.76796,1,1.12436,0.00061504,0.00061504,0.00061504
30,734.322,0.26628,0.79558,1,1.13413,0.000611505,0.000611505,0.000611505
31,758.381,0.26135,0.8011,1,1.11933,0.000607971,0.000607971,0.000607971
32,781.689,0.26199,0.80663,1,1.11282,0.000604437,0.000604437,0.000604437
33,805.743,0.25343,0.77901,1,1.12802,0.000600902,0.000600902,0.000600902
34,829.783,0.27055,0.78453,1,1.13959,0.000597368,0.000597368,0.000597368
35,853.865,0.20717,0.79558,1,1.11747,0.000593834,0.000593834,0.000593834
36,877.865,0.22962,0.81768,1,1.10947,0.0005903,0.0005903,0.0005903
37,901.935,0.20561,0.8011,1,1.12111,0.000586765,0.000586765,0.000586765
38,925.949,0.2302,0.8011,1,1.11269,0.000583231,0.000583231,0.000583231
39,949.882,0.1978,0.77348,1,1.14091,0.000579697,0.000579697,0.000579697
40,973.972,0.20394,0.79558,1,1.12802,0.000576162,0.000576162,0.000576162
41,998.102,0.23356,0.79558,1,1.12356,0.000572628,0.000572628,0.000572628
42,1022.11,0.19244,0.79006,1,1.12702,0.000569094,0.000569094,0.000569094
43,1046.18,0.19457,0.79006,1,1.13286,0.000565559,0.000565559,0.000565559
44,1070.24,0.20671,0.82873,1,1.10332,0.000562025,0.000562025,0.000562025
45,1093.9,0.20093,0.83425,1,1.09731,0.000558491,0.000558491,0.000558491
46,1117.52,0.17227,0.8011,1,1.11595,0.000554956,0.000554956,0.000554956
47,1141.5,0.17549,0.81768,1,1.09804,0.000551422,0.000551422,0.000551422
48,1165.53,0.20695,0.79006,1,1.12389,0.000547888,0.000547888,0.000547888
49,1189.61,0.18055,0.80663,1,1.11854,0.000544354,0.000544354,0.000544354
50,1213.58,0.16622,0.8011,1,1.11845,0.000540819,0.000540819,0.000540819
51,1237.81,0.197,0.8011,1,1.11641,0.000537285,0.000537285,0.000537285
52,1261.72,0.1974,0.76796,1,1.12116,0.000533751,0.000533751,0.000533751
53,1285.79,0.17387,0.77901,1,1.12378,0.000530216,0.000530216,0.000530216
54,1309.9,0.14928,0.80663,1,1.11688,0.000526682,0.000526682,0.000526682
55,1333.94,0.20847,0.8011,1,1.11516,0.000523148,0.000523148,0.000523148
56,1358.11,0.14846,0.79006,1,1.1207,0.000519613,0.000519613,0.000519613
57,1382.29,0.1677,0.79558,1,1.11449,0.000516079,0.000516079,0.000516079
58,1406.03,0.13281,0.8011,1,1.0988,0.000512545,0.000512545,0.000512545
59,1430.08,0.19345,0.80663,1,1.10332,0.000509011,0.000509011,0.000509011
60,1453.9,0.14517,0.82873,1,1.10157,0.000505476,0.000505476,0.000505476
